Category,Code,Offence description,Statute
Violence Against the Person ABH +,00704,Master of ship failing to render assistance to ships in distress or persons in danger at sea,"Merchant Shipping Act 1995 S.93(1), (2), (4) - (7)"
Violence Against the Person ABH +,00705,Taking or sending a ship to sea with load line submerged,Merchant Shipping Act 1995 Sch.3 Paras.4 and 14
Violence Against the Person ABH +,00706,Owner or master of ship contravening cargo ship construction and survey rules,Merchant Shipping Act 1964 S.7; Distress Signals and Prevention of Collisions SI.1983/708 made under Merchant Shipping Act 1979
Violence Against the Person ABH +,00707,"Misconduct of Master or crew likely to endanger ships, structures or individuals",Merchant Shipping Act 1995 S.58
Violence Against the Person ABH +,00708,Drunkenness etc. on duty - Endangering life at sea,Merchant Shipping Act 1995 S.117
Violence Against the Person ABH +,00709,Contravention of deck cargo regulations (load lines etc.),Merchant Shipping Act 1995 Sch.3 para.24
Violence Against the Person ABH +,00710,"Intentionally makes or assists in making or procures to be made, a false or fraudulent certificate (load lines etc.)",Merchant Shipping Act 1995 Sch.3 para.27
Violence Against the Person ABH +,00711,"Using etc. in navigation any unsafe lighter, barge or like vessel, likely to endanger human life",Merchant Shipping Act 1995 S.99
Violence Against the Person ABH +,00712,"Concerted disobedience, persistent and wilful neglect of duty or impedes progress of voyager navigation of ship",Merchant Shipping Act 1995 S.59
Violence Against the Person ABH +,00713,"Master, Pilot or Seaman ability to carry out duties is impaired because of drink or drugs","Railways and Transport Safety Act 2003 SS.78, 80 & 82"
Violence Against the Person ABH +,00714,Destroying ships or fixed platforms endangering their safety,Aviation and Maritime Security Act 1990 S.11
Violence Against the Person ABH +,00715,Other acts endangering or likely to endanger safe navigation,Aviation and Maritime Security Act 1990 S.12
Violence Against the Person ABH +,00716,"Inducing commission of offence relating to safety of ship, cargo or sea platform outside UK",Aviation and Maritime Security Act 1990 S.14(4)
Violence Against the Person ABH +,00717,"Assisting commission of offence relating to safety of ship, cargo or sea platform outside UK",Aviation and Maritime Security Act 1990 S.14(4)
Violence Against the Person ABH +,00800,Malicious wounding and other like offences    [Use this code only if you are unable to determine which subcoded Offence applies],
Violence Against the Person ABH +,00801,Wound or inflict grievous bodily harm without intent,Offences against the Person Act 1861 S.20
Violence Against the Person ABH +,00802,Administering poison with intent to injure or annoy,Offences against the Person Act 1861 S.24
Violence Against the Person ABH +,00803,"Setting spring guns, etc., to injure trespassers",Offences against the Person Act 1861 S.31
Violence Against the Person ABH +,00805,Assaults on person preserving wreck,Offences against the Person Act 1861 S.37
Violence Against the Person ABH +,00806,Assaults occasioning actual bodily harm,Common Law and Offences against the Person Act 1861 S.47
Violence Against the Person ABH +,00807,Assault police officer (triable either way offence),
Violence Against the Person ABH +,00808,Assault police officer,
Violence Against the Person ABH +,00809,"Obstructing, assaulting or arresting upon civil process clergymen performing service",Offences against the Person Act 1861 S.36
Violence Against the Person ABH +,00819,Assault with intent to resist apprehension or assault a person assisting a constable,
Violence Against the Person ABH +,00820,Assault with intent to resist apprehension or assault a person assisting a constable,Offences against the Person Act 1861 S.38
Violence Against the Person ABH +,00830,Putting people in fear of violence,Protection from Harassment Act 1997 S.4
Violence Against the Person ABH +,00833,Racially aggravated wounding or inflicting grievous bodily harm (inflicting bodily injury with or without weapon),Offences against the Person Act1861 S.20 as amended by the Crime & Disorder Act 1998 S.29(1)(a)(2)
Violence Against the Person ABH +,00834,Racially aggravated actual bodily harm (assaults occasioning ABH),Offences against the Person Act1861 S.47 as amended by the Crime & Disorder Act 1998 S.29(1)(b) and (2)
Violence Against the Person ABH +,00835,Racially aggravated common assault,Crime & Disorder Act 1998 S.29(1)(c) and (3)
Violence Against the Person ABH +,00838,Racially aggravated putting people in fear of violence,Protection from Harassment Act 1997 S.4 as amended by Crime & Disorder Act 1998 S.32(1)(b) & (4)
