Code,subcode,Offence description,Violent offence
00811,811.0,Possession of offensive weapons without lawful authority or reasonable excuse,Yes
00813,813.0,Possessing firearm or imitation firearm at time of committing or being arrested for an offence specified in Schedule 1 of the Act (Group I),Yes
00814,814.0,Possessing firearm or imitation firearm at time of committing or being arrested for an offence specified in Schedule 1 of the Act (Group II),Yes
00815,815.0,Possessing firearm or imitation firearm at time of committing or being arrested for an offence specified in Schedule 1 of the Act (Group III),Yes
00816,816.0,Possessing firearms or imitation firearm with intent to commit an indictable offence or resist arrest etc. (Group I),Yes
00817,817.0,"Possessing firearm or imitation firearm with intent to commit an indictable offence, or resist arrest etc. (Group II)",Yes
00818,818.0,"Possessing firearms or imitation firearm with intent to commit an indictable offence, or resist arrest etc. (Group III)",Yes
00819,819.0,Assault with intent to resist apprehension or assault a person assisting a constable,Yes
00820,820.0,Assault with intent to resist apprehension or assault a person assisting a constable,Yes
00821,821.0,Owner or person in charge allowing dog to be dangerously out of control in a public place injuring any person,Yes
00822,822.0,Owner or person in charge allowing dog to enter a non-public place and injuring any person,Yes
00823,823.0,"Possession of a firearm or imitation firearm, with intent to cause fear of violence (Group I)",Yes
00824,824.0,Possession of a firearm or imitation firearm with intent to cause fear of violence (Group II),Yes
00825,825.0,Possession of a firearm or imitation firearm with intent to cause fear of violence (Group III),Yes
00826,826.0,Having an article with a blade or point in a public place,Yes
00827,827.0,Having an article with a blade or point on school premises,Yes
00828,828.0,Possession of offensive weapons without lawful authority or reasonable excuse on school premises,Yes
00829,829.0,Breach of the conditions of an injunction against harassment (was breach of molestation order),Yes
00830,830.0,Putting people in fear of violence,Yes
00831,831.0,Breach of Restraining Order,Yes
00832,832.0,"Breach of Anti-Social Behaviour Order (order made to protect from alarm, distress or harassment)",No
00833,833.0,Racially aggravated wounding or inflicting grievous bodily harm (inflicting bodily injury with or without weapon),Yes
00834,834.0,Racially aggravated actual bodily harm (assaults occasioning ABH),Yes
00835,835.0,Racially aggravated common assault,Yes
00836,836.0,"Racially aggravated intentional harassment, alarm or distress",Yes
00837,837.0,Racially aggravated offence of harassment,Yes
00838,838.0,Racially aggravated putting people in fear of violence,Yes
00839,839.0,Breach of Restraining Order - for use with restraining orders made before Section 104 & 113 of the Sexual Offences Act 2003,Yes
00840,840.0,Religiously aggravated malicious wounding or GBH,Yes
00841,841.0,Religiously aggravated ABH,Yes
00842,842.0,Religiously aggravated common assault,Yes
00843,843.0,"Religiously aggravated intentional harassment, alarm or distress",Yes
00844,844.0,Religiously aggravated offence of harassment,Yes
00845,845.0,Religiously aggravated putting people in fear of violence,Yes
00846,846.0,Racially or religiously aggravated malicious wounding or GBH,Yes
00847,847.0,Racially or religiously aggravated ABH,Yes
00848,848.0,Racially or religiously aggravated common assault.,Yes
00849,849.0,"Racially or religiously aggravated intentional harassment, alarm or distress",Yes
00850,850.0,Racially or religiously aggravated offence of harassment,Yes
00851,851.0,Racially or religiously aggravated putting people in fear of violence,Yes
00852,852.0,"Excise, infibulate or otherwise mutilate the whole or any part of a girl's labia majora, labia minora or clitoris; Aid, abet, counsel or procure a girl to excise, infibulate or otherwise mutilate the whole or any part of her own labia majora, labia minora or clitoris; Aid, abet, counsel or procure a non-UK national or person who is not a permanent UK resident to do a relevant act of female genital mutilation outside the UK",Yes
00853,853.0,"Using another to look after, hide or transport a dangerous weapon - offensive weapon, knife or bladed weapon",Yes
00854,854.0,"Use another to look after, hide or transport a dangerous weapon - firearm",Yes
00855,855.0,Racially or religiously aggravated intentional harassment or alarm or distress - words or writing,Yes
00856,856.0,Racially or religiously aggravated stalking without violence,Yes
00857,857.0,Racially or religiously aggravated common assault or beating,Yes
00858,858.0,Racially or religiously aggravated stalking with fear of violence,Yes
00859,859.0,Racially or religiously aggravated wounding or grievous bodily harm,Yes
00860,860.0,Racially or religiously aggravated assault occasioning actual bodily harm,Yes
00861,861.0,Threaten with an offensive weapon in a public place,Yes
00862,862.0,Threaten with a blade or sharply pointed article on school premises,Yes
00863,863.0,Threaten with an offensive weapon on school premises,Yes
00864,864.0,Threaten with blade/sharply pointed article in a public place,Yes
00865,865.0,Stalking involving fear of violence,Yes
00866,866.0,Stalking involving serious alarm/distress,Yes
00867,867.0,Engage in controlling / coercive behaviour in an intimate / family relationship,Yes
00868,868.0,Fail to protect girl from risk of genital mutilation,Yes
00869,869.0,Care worker ill-treat / wilfully neglect an individual,Yes
00870,870.0,Care provider breach duty of care resulting in ill-treatment / neglect of individual,Yes
00871,871.0,Disclose private sexual photographs and films with intent to cause distress,Yes
00872,872.0,Sending letters etc. with intent to cause distress or anxiety,Yes
00873,873.0,Assault of an emergency worker,Yes
00874,874.0,Breach of stalking order / interim stalking order,Yes
01100,1100.0,Cruelty to or neglect of children    [Use this code only if you are unable to determine which subcoded Offence applies],Yes
01102,1102.0,Neglecting to provide for apprentice or servant,Yes
01103,1103.0,Cruelty to or neglect of children,Yes
01200,1200.0,Abandoning children under two years,Yes
01300,1300.0,Abduction of children    [Use this code only if you are unable to determine which subcoded Offence applies],Yes
01301,1301.0,Abduction of a child by parent,Yes
01302,1302.0,Abduction of a child by other persons,Yes
01400,1400.0,Procuring illegal abortion    [Use this code only if you are unable to determine which subcoded Offence applies],Yes
01401,1401.0,Administering or using drugs or using instruments to procure abortion,Yes
01402,1402.0,Procuring drugs etc. to cause abortion,Yes
01500,1500.0,Concealment of birth,Yes
01600,1600.0,Buggery and Attempted Buggery    [Use this code only if you are unable to determine which subcoded Offence applies],No
01602,1602.0,Buggery and Attempted Buggery: By a man with a male person of the age of sixteen or over without consent,No
01605,1605.0,Male member of staff or hospital or mental nursing home committing buggery or an act of gross indecency with male patient,No
01606,1606.0,Man committing buggery or an act of gross indecency with mentally disordered male patient who is subject to his care,No
01611,1611.0,Assault with intent to commit buggery,No
01612,1612.0,Buggery or attempted buggery by a male of a male under 16,No
01613,1613.0,Buggery or attempted buggery by a male aged 21 or over with a male aged 16 or 17,No
01614,1614.0,Buggery by a male aged 18-20 with a male aged 16 or 17,No
01615,1615.0,Buggery or attempted buggery by a male aged 16 or 17 with a male aged 16 or over,No
01616,1616.0,"Buggery or attempted buggery by a male with another male not included in 12,13,14 15 23,25 or 26",No
01617,1617.0,Buggery or attempted buggery by a male with a female under 16,No
01618,1618.0,Buggery or attempted buggery by a male aged 21 or over with a female aged 16 or 17,No
01619,1619.0,Buggery or attempted buggery by a male aged 18-20 with a female aged 16 or 17,No
01620,1620.0,Buggery or attempted buggery by a male aged 16 or 17 with a female aged 16 or over,No
01621,1621.0,"Buggery or attempted buggery by a male with a female not included in 17,18,19 20 24,27 or 28",No
01622,1622.0,Buggery or attempted buggery with an animal,No
01623,1623.0,Buggery or attempted buggery by a male aged 18-20 with a male aged under 16,No
01624,1624.0,Buggery or attempted buggery by a male aged 18-20 with a female aged under 16,No
01625,1625.0,Buggery or attempted buggery by a male aged 16 -17 with a male aged under 16,No
01626,1626.0,Buggery or attempted buggery by a male aged 21 or over with a male aged under 16,No
01627,1627.0,Buggery or attempted buggery by a male aged 21 or over with a female aged under 16,No
01628,1628.0,Buggery or attempted buggery by a male aged 16-17 with a female aged under 16,No
01700,1700.0,Sexual assault on a male (was Indecent assault on a male)    [Use this code only if you are unable to determine which subcoded Offence applies],No
01711,1711.0,Indecent assault on male person under 16 years,No
01712,1712.0,Indecent assault on male person 16 years or over,No
01713,1713.0,Assault on a male by penetration,No
01714,1714.0,Assault of a male child under 13 by penetration,No
01715,1715.0,Sexual assault on a male,No
01716,1716.0,Sexual assault of a male child under 13,No
01800,1800.0,Indecency between males    [Use this code only if you are unable to determine which subcoded Offence applies],No
01802,1802.0,"By a man with another male person other than as in classifications 18/03, 18/04, 18/05 or 18/06",No
01803,1803.0,Gross indecency by a male aged 21 or over with a male aged under 18,No
01804,1804.0,Gross indecency by a male aged 18-20 with a male aged under 18,No
01805,1805.0,Gross indecency by a male aged under 18 with another male,No
01806,1806.0,Gross indecency by a male aged 18 or over with another male aged 18 or over,No
01807,1807.0,Gross indecency or Indecency by a male aged 16-17 with another male aged under 16,No
01808,1808.0,Gross indecency or indecency by a male aged 18-20 with another male aged under 16,No
01809,1809.0,Gross indecency or indecency by a male aged 16 or over with another male aged 16 or over,No
01810,1810.0,Gross indecency or indecency by a male aged under 16 with another male,No
01811,1811.0,Gross indecency or indecency by a male aged 21 or over with another male aged under 16,No
01900,1900.0,Rape    [Use this code only if you are unable to determine which subcoded Offence applies],No
01902,1902.0,Man having unlawful sexual intercourse with a woman who is a defective,No
01903,1903.0,Male member of staff of hospital or mental nursing home having unlawful sexual intercourse with female patient,No
01904,1904.0,Man having unlawful sexual intercourse with mentally disordered female patient who is subject to his care,No
01907,1907.0,Rape of a female aged under 16,No
01908,1908.0,Rape of a female aged 16 or over,No
01909,1909.0,Rape of a male aged under 16,No
01910,1910.0,Rape of a male aged 16 or over,No
01911,1911.0,Attempted rape of a female aged under 16,No
01912,1912.0,Attempted rape of a female aged 16 or over,No
01913,1913.0,Attempted rape of a male aged under 16,No
01914,1914.0,Attempted rape of a male aged 16 or over,No
01916,1916.0,Rape of a female child under 13 by a male,No
01917,1917.0,Rape of a male child under 13 by a male,No
01918,1918.0,Attempted rape of a female child under 13 by a male,No
01919,1919.0,Attempted rape of a male child under 13 by a male,No
02000,2000.0,Sexual assault on a female    [Use this code only if you are unable to determine which subcoded Offence applies],No
02001,2001.0,Indecent assault on female under 16 years of age,No
02002,2002.0,Indecent assault on female aged 16 years and over,No
02003,2003.0,Assault on a female by penetration,No
02004,2004.0,Assault on a female child under 13 by penetration,No
02005,2005.0,Sexual assault on a female,No
02006,2006.0,Sexual assault on a female child under 13,No
02100,2100.0,Sexual Activity (Male & Female) (including with a child under 13)    [Use this code only if you are unable to determine which subcoded Offence applies],No
02101,2101.0,Unlawful sexual intercourse with a girl under 13,No
02102,2102.0,Causing or inciting a female child under 13 to engage in sexual activity - penetration,No
02103,2103.0,Causing or inciting a female child under 13 to engage in sexual activity - no penetration,No
02104,2104.0,Causing or Inciting a male child under 13 to engage in sexual activity - penetration,No
02105,2105.0,Causing or Inciting a male child under 13 to engage in sexual activity - no penetration,No
02106,2106.0,Sexual activity with a female child under 13 - offender aged 18 or over - penetration,No
02107,2107.0,Sexual activity with a male child under 13 - offender aged 18 or over - penetration,No
02108,2108.0,Causing or Inciting a female child under 13 to engage in sexual activity offender aged 18 or over - penetration,No
02109,2109.0,Causing or Inciting a male child under 13 to engage in sexual activity offender aged 18 or over - penetration,No
02110,2110.0,Engaging in sexual activity in the presence of a child under 13 (offender aged 18 or over),No
02111,2111.0,Causing a child under 13 to watch a sexual act (offender aged 18 or over),No
02112,2112.0,Sexual activity with a female child under 13 - offender aged under 18,No
02113,2113.0,Sexual activity with a male child under 13 - offender aged under 18,No
02114,2114.0,Causing or inciting a female child under 13 to engage in sexual activity - offender under 18,No
02115,2115.0,Causing or inciting a male child under 13 to engage in sexual activity - offender under 18,No
02116,2116.0,Engaging in sexual activity in the presence of a child under 13 - offender under 18,No
02117,2117.0,Causing a child under 13 to watch a sexual act - offender under 18,No
02118,2118.0,Sexual activity with a female child under 13 - offender aged 18 or over - no penetration,No
02119,2119.0,Sexual activity with a male child under 13 - offender aged 18 or over - no penetration,No
02120,2120.0,Causing or inciting a female child under 13 to engage in sexual activity - offender aged 18 or over - no penetration,No
02121,2121.0,Causing or inciting a male child under 13 to engage in sexual activity - offender aged 18 or over - no penetration,No
02122,2122.0,Sexual activity with a female child under 13 - offender aged under 18 - no penetration,No
02123,2123.0,Sexual activity with a male child under 13 - offender aged under 18 - no penetration,No
02124,2124.0,Causing or inciting a female child under 13 to engage in sexual activity - offender aged under 18 - no penetration,No
02125,2125.0,Causing or inciting a male child under 13 to engage in sexual activity - offender aged under 18 - no penetration,No
02200,2200.0,Sexual Activity (Male & Female) (including with a child under 16)    [Use this code only if you are unable to determine which subcoded Offence applies],No
02201,2201.0,Unlawful sexual intercourse with a girl under 16,No
02202,2202.0,Causing a female person to engage in sexual activity without consent - penetration,No
02203,2203.0,Causing a male person to engage in sexual activity without consent - penetration,No
02204,2204.0,Causing a female person to engage in sexual activity without consent - no penetration,No
02205,2205.0,Causing a male person to engage in sexual activity without consent - no penetration,No
02206,2206.0,Sexual activity with a female child under 16 (offender aged 18 or over) - penetration,No
02207,2207.0,Sexual activity with a male child under 16 (offender aged 18 or over) - penetration,No
02208,2208.0,Causing or inciting a female child under 16 to engage in sexual activity (offender aged 18 or over) - penetration,No
02209,2209.0,Causing or inciting a male child under 16 to engage in sexual activity (offender aged 18 or over) - penetration,No
02210,2210.0,Engaging in sexual activity in the presence of a child under 16 (offender aged 18 or over),No
02211,2211.0,Causing a child under 16 to watch a sexual act (offender aged 18 or over),No
02212,2212.0,Sexual activity with a female child under 16 (offender under 18),No
02213,2213.0,Sexual activity with a male child under 16 (offender under 18),No
02214,2214.0,Causing or inciting a female child under 16 to engage in sexual activity (offender under 18),No
02215,2215.0,Causing or inciting a male child under 16 to engage in sexual activity (offender under 18),No
02216,2216.0,Engaging in sexual activity in the presence of a child under 16 (offender under 18),No
02217,2217.0,Causing a child under 16 to watch a sexual act (offender under 18),No
02218,2218.0,Sexual activity with a female child under 16 - offender aged 18 or over - no penetration,No
02219,2219.0,Sexual activity with a male child under 16 - offender aged 18 or over - no penetration,No
02220,2220.0,Causing or inciting a female child under 16 to engage in sexual activity (offender aged 18 or over) - no penetration,No
02221,2221.0,Causing or inciting a male child under 16 to engage in sexual activity (offender aged 18 or over) - no penetration,No
02222,2222.0,Sexual activity with a female child under 16 - offender aged under 18 - no penetration,No
02223,2223.0,Sexual activity with a male child under 16 - offender aged under 18 - no penetration,No
02224,2224.0,Causing or inciting a female child under 16 to engage in sexual activity - offender aged under 18 - no penetration,No
02225,2225.0,Causing or inciting a male child under 16 to engage in sexual activity - offender aged under 18 - no penetration,No
02300,2300.0,Familial sexual offences (incest)    [Use this code only if you are unable to determine which subcoded Offence applies],No
02301,2301.0,Incest with a girl under 13,No
02302,2302.0,Other incest,No
02303,2303.0,Inciting girl under 16 to have incestuous sexual intercourse,No
02304,2304.0,Sexual activity with a female child family member - offender aged 18 or over at time of offence and victim 13-17 - penetration,No
02305,2305.0,Sexual activity with a male child family member - offender aged 18 or over at time of offence and victim 13-17 - penetration,No
02306,2306.0,Sexual activity with a female child family member - offender not 18 or over at time of offence and victim 13-17,No
02307,2307.0,Sexual activity with a male child family member - offender not 18 or over at time of offence and victim 13-17,No
02308,2308.0,Inciting a female child family member to engage in sexual activity - offender aged 18 or over at time of offence and victim 13-17 - penetration,No
02309,2309.0,Inciting a male child family member to engage in sexual activity - offender aged 18 or over at time of offence and victim 13-17 - penetration,No
02310,2310.0,Inciting a female child family member to engage in sexual activity - offender not 18 or over at time of offence and victim 13-17,No
02311,2311.0,Inciting a male child family member to engage in sexual activity - offender not 18 or over at time of offence and victim 13-17,No
02312,2312.0,Sex with an adult relative (offender aged 16 or over; relative aged 18 or over) - penetration,No
02313,2313.0,Sex with an adult relative (offender aged 16 or over; relative aged 18 or over) - consenting to penetration,No
02314,2314.0,Sexual activity with a female child family member - offender aged 18 or over at time of offence and victim under 13 - penetration,No
02315,2315.0,Sexual activity with a male child family member - offender aged 18 or over at time of offence and victim under 13 - penetration,No
02316,2316.0,Sexual activity with a female child family member - offender not 18 or over at time of offence and victim under 13,No
02317,2317.0,Sexual activity with a male child family member - offender not 18 or over at time of offence and victim under 13,No
02318,2318.0,Inciting a female child family member to engage in sexual activity - offender aged 18 or over at time of offence and victim under 13 - penetration,No
02319,2319.0,Inciting a male child family member to engage in sexual activity - offender aged 18 or over at time of offence and victim under 13 - penetration,No
02320,2320.0,Inciting a female child family member to engage in sexual activity - offender not 18 or over at time of offence and victim under 13,No
02321,2321.0,Inciting a male child family member to engage in sexual activity - offender not 18 or over at time of offence and victim under 13,No
02322,2322.0,Sexual activity with a female child family member - offender aged 18 or over at time of offence and victim 13-17 - no penetration,No
02323,2323.0,Sexual activity with a male child family member - offender aged 18 or over at time of offence and victim 13-17 - no penetration,No
02324,2324.0,Sexual activity with a female child family member - offender aged 18 or over at time of offence and victim under 13 - no penetration,No
02325,2325.0,Sexual activity with a male child family member - offender aged 18 or over at time of offence and victim under 13 - no penetration,No
02326,2326.0,Inciting a female child family member to engage in sexual activity - offender aged 18 or over at time of offence and victim 13-17 - no penetration,No
02327,2327.0,Inciting a male child family member to engage in sexual activity - offender aged 18 or over at time of offence and victim 13-17 - no penetration,No
02328,2328.0,Inciting a female child family member to engage in sexual activity - offender aged 18 or over at time of offence and victim under 13 - no penetration,No
02329,2329.0,Inciting a male child family member to engage in sexual activity - offender aged 18 or over at time of offence and victim & under 13 - no penetration,No
02330,2330.0,"Sexual activity with a female child family member under 13 - offender under 18 - penetration of anus, vagina or mouth by penis or other part of body",No
02331,2331.0,"Sexual activity with a male child family member under 13 - offender under 18 - penetration of anus, vagina or mouth by penis or other part of body",No
02332,2332.0,"Sexual activity with a female child family member 13 to 17 - offender under 18 - penetration of anus, vagina, mouth by penis or other part of body",No
02333,2333.0,"Sexual activity with a male child family member 13 to 17 - offender under 18 - penetration of anus, vagina or mouth by penis or other part of body",No
02334,2334.0,"Inciting a female child family member under 13 to engage in sexual activity - offender under 18 - penetration of anus, vagina or mouth by penis or other part of body",No
02335,2335.0,"Inciting a male child family member under 13 to engage in sexual activity - offender under 18 - penetration of anus, vagina or mouth by penis or other part of body",No
02336,2336.0,"Inciting a female child family member 13 - 17 to engage in sexual activity - offender under 18 - penetration of anus, vagina or mouth by penis or other part of body",No
02337,2337.0,"Inciting a male child family member 13 - 17 to engage in sexual activity - offender under 18 - penetration of anus, vagina or mouth by penis or other part of body",No
02400,2400.0,Exploitation of prostitution (procuration of males and females)    [Use this code only if you are unable to determine which subcoded Offence applies],No
02401,2401.0,"Procuring female for immoral purposes, or using drugs to obtain or facilitate sexual intercourse",No
02402,2402.0,Householder permitting unlawful sexual intercourse with girl under 16,No
02403,2403.0,Detention of female in brothel or other premises,No
02405,2405.0,Person responsible for girl under 16 causing or encouraging her prostitution etc,No
02406,2406.0,Living on earnings of prostitution or exercising control over prostitute,No
02407,2407.0,"Procuring, permitting or causing the prostitution etc. of female defective",No
02410,2410.0,Man procuring an act of buggery between two other men which by reason of S.1(1) of the Sexual Offences Act 1967 is not an offence,No
02411,2411.0,Man or woman living wholly or in part on the earnings of male prostitution,No
02412,2412.0,Male of or over the age of 21 procuring or attempting to procure or being party to the commission by a male under 18 of an act of gross indecency with another male,No
02413,2413.0,Male procuring or attempting to procure or being party to the commission by a male of an act of gross indecency with another male other than as in 24/12 above.,No
02416,2416.0,Male aged 16-17 procuring or attempting to procure or being party to the commission of an act of gross indecency between men (one a male under 16),No
02417,2417.0,Causing or inciting prostitution for gain,No
02418,2418.0,Controlling a prostitute for gain,No
02419,2419.0,Keeping a brothel used for prostitution,No
02500,2500.0,Abduction    [Use this code only if you are unable to determine which subcoded Offence applies],No
02501,2501.0,Abduction of female having interest in property,No
02502,2502.0,Abduction of female by force,No
02503,2503.0,Abduction of unmarried girl under 16,No
02504,2504.0,Abduction of unmarried girl under 18,No
02505,2505.0,Abduction of female defective,No
02600,2600.0,Bigamy,No
02700,2700.0,Soliciting by a man,No
02800,2800.0,Burglary in a dwelling    [Use this code only if you are unable to determine which subcoded Offence applies],No
02801,2801.0,Burglary with the intent to commit an offence triable only on indictment,No
02802,2802.0,Burglary with the commission of an offence triable only on indictment or with violence or the threat of violence.,No
02803,2803.0,Other burglary in a dwelling.,No
02804,2804.0,Burglary (with intent to inflict GBH - in dwelling) - Reclassified,Yes
02900,2900.0,Aggravated burglary in a dwelling,Yes
03000,3000.0,"Burglary, other than in a dwelling    [Use this code only if you are unable to determine which subcoded Offence applies]",No
03001,3001.0,"Burglary, with the intent to commit or the commission of an offence triable only on indictment",No
03002,3002.0,Other burglary other than in a dwelling,No
03100,3100.0,Aggravated burglary in a building other than a dwelling,Yes
03200,3200.0,"Entering with intent to commit felony (entering by night or breaking into houses, shops, etc, with intent to commit felony).",Yes
03300,3300.0,Going equipped for stealing etc.,No
03400,3400.0,Robbery and assaults with intent to rob    [Use this code only if you are unable to determine which subcoded Offence applies],Yes
03401,3401.0,Robbery,Yes
03402,3402.0,Assault with intent to rob,Yes
03403,3403.0,Theft of mail accompanied by robbery/Attempt robbery (Reclassified),Yes
03500,3500.0,Blackmail,Yes
03600,3600.0,Kidnapping    [Use this code only if you are unable to determine which subcoded Offence applies],Yes
03601,3601.0,Kidnapping,Yes
03602,3602.0,Hijacking,Yes
03603,3603.0,False imprisonment,Yes
03604,3604.0,Detaining and threatening to kill or injure a hostage,Yes
03605,3605.0,Forced marriage,Yes
03606,3606.0,Hold person in slavery or servitude,Yes
03607,3607.0,Require person to perform forced or compulsory labour,Yes
03608,3608.0,UK national arrange or facilitate travel of another person with a view to exploitation,Yes
03610,3610.0,Commit offence other than kidnapping or false imprisonment with intention of arranging travel with view to exploitation,Yes
03611,3611.0,Commit offence of kidnapping or false imprisonment with intention of arranging travel with view to exploitation,Yes
03612,3612.0,Do act prohibited by slavery and trafficking risk or prevention order,Yes
03613,3613.0,Fail to comply with requirement to surrender passport under Modern Slavery Act 2015,Yes
03614,3614.0,Fail to comply with requirement to provide name and address under Modern Slavery Act 2015,Yes
03700,3700.0,Aggravated Taking of a Vehicle    [Use this code only if you are unable to determine which subcoded Offence applies],No
